model,subgroup_variable,subgroup,metric,estimate,ci_low,ci_high,warning
xgboost,Overall,Overall,auc,0.842552012215713,0.819691773638728,0.8640560600279531,
xgboost,Overall,Overall,sensitivity,0.2009132420091324,0.1499528911381501,0.25141107505495647,
xgboost,Overall,Overall,specificity,0.9718649517684887,0.9622171065597871,0.9800604784816894,
xgboost,Overall,Overall,false_positive_rate,0.028135048231511254,0.01993952151831061,0.03778289344021298,
xgboost,Overall,Overall,false_negative_rate,0.7990867579908676,0.7485889249450435,0.8500471088618499,
xgboost,Overall,Overall,brier_score,,0.09030557874390409,0.11119688961486468,
xgboost,age_group,18-39,auc,0.7287055667337357,0.5144528112449799,0.9655536144578314,
xgboost,age_group,18-39,sensitivity,0.0,0.0,0.0,
xgboost,age_group,18-39,specificity,1.0,1.0,1.0,
xgboost,age_group,18-39,false_positive_rate,0.0,0.0,0.0,
xgboost,age_group,18-39,false_negative_rate,1.0,1.0,1.0,
xgboost,age_group,18-39,brier_score,,0.0027662755048426866,0.022346663433240262,
xgboost,age_group,40-59,auc,0.7659226335840579,0.6891593723156648,0.8266730005284753,
xgboost,age_group,40-59,sensitivity,0.034482758620689655,0.0,0.09398826979472127,
xgboost,age_group,40-59,specificity,0.9943342776203966,0.9857742084304585,1.0,
xgboost,age_group,40-59,false_positive_rate,0.0056657223796034,0.0,0.014225791569541568,
xgboost,age_group,40-59,false_negative_rate,0.9655172413793104,0.9060117302052786,1.0,
xgboost,age_group,40-59,brier_score,,0.08491316714658745,0.1245280251548634,
xgboost,age_group,60+,auc,0.7309644670050761,0.6855524075799938,0.7759289785149112,
xgboost,age_group,60+,sensitivity,0.2709677419354839,0.21201585390327113,0.3435569397489927,
xgboost,age_group,60+,specificity,0.916243654822335,0.890374358974359,0.9387755102040817,
xgboost,age_group,60+,false_positive_rate,0.08375634517766498,0.061224489795918366,0.10962564102564101,
xgboost,age_group,60+,false_negative_rate,0.7290322580645161,0.6564430602510073,0.7879841460967288,
xgboost,age_group,60+,brier_score,,0.16208943127854927,0.1951325487117018,
xgboost,sex,Female,auc,0.8188244385853259,0.7730529930799248,0.8634344190945445,
xgboost,sex,Female,sensitivity,0.09803921568627451,0.04038775510204082,0.15685763888888887,
xgboost,sex,Female,specificity,0.9799072642967542,0.9692058788668958,0.9891990950226245,
xgboost,sex,Female,false_positive_rate,0.02009273570324575,0.010800904977375566,0.030794121133104185,
xgboost,sex,Female,false_negative_rate,0.9019607843137255,0.8431423611111111,0.9596122448979592,
xgboost,sex,Female,brier_score,,0.08492878608497409,0.11418695072508486,
xgboost,sex,Male,auc,0.8635914615814113,0.8331392398229133,0.8928317810860296,
xgboost,sex,Male,sensitivity,0.2905982905982906,0.21051931415057154,0.3680932203389829,
xgboost,sex,Male,specificity,0.9631490787269682,0.9461279461279462,0.9777160321932468,
xgboost,sex,Male,false_positive_rate,0.03685092127303183,0.022283967806753156,0.05387205387205387,
xgboost,sex,Male,false_negative_rate,0.7094017094017094,0.6319067796610169,0.7894806858494284,
xgboost,sex,Male,brier_score,,0.08875591919759292,0.11678125583274604,
xgboost,education,9th-11th grade,auc,0.8036579457364341,0.7343653642761258,0.8812968744711814,
xgboost,education,9th-11th grade,sensitivity,0.15625,0.038461538461538464,0.2972972972972973,
xgboost,education,9th-11th grade,specificity,0.9844961240310077,0.9613624165076337,1.0,
xgboost,education,9th-11th grade,false_positive_rate,0.015503875968992248,0.0,0.038637583492366394,
xgboost,education,9th-11th grade,false_negative_rate,0.84375,0.7027027027027027,0.9615384615384616,
xgboost,education,9th-11th grade,brier_score,,0.09910729739265477,0.17164447306736186,
xgboost,education,College graduate,auc,0.8614686468646865,0.7877422651117325,0.9194111446536751,
xgboost,education,College graduate,sensitivity,0.2,0.0788981288981289,0.32558139534883723,
xgboost,education,College graduate,specificity,0.9900990099009901,0.9771986970684039,1.0,
xgboost,education,College graduate,false_positive_rate,0.009900990099009901,0.0,0.02280130293159609,
xgboost,education,College graduate,false_negative_rate,0.8,0.6744186046511628,0.921101871101871,
xgboost,education,College graduate,brier_score,,0.05805231559758062,0.09366370903544843,
xgboost,education,High school/GED,auc,0.8188363636363636,0.7562382288872813,0.8741009553079985,
xgboost,education,High school/GED,sensitivity,0.22,0.11883575464083938,0.3333333333333333,
xgboost,education,High school/GED,specificity,0.9636363636363636,0.9405389684664778,0.9851898595258999,
xgboost,education,High school/GED,false_positive_rate,0.03636363636363636,0.014810140474100088,0.05946103153352224,
xgboost,education,High school/GED,false_negative_rate,0.78,0.6666666666666666,0.8811642453591606,
xgboost,education,High school/GED,brier_score,,0.08487862075021409,0.12932171593314784,
xgboost,education,Less than 9th grade,auc,0.7686622320768662,0.6747394782214936,0.8466042921686747,
xgboost,education,Less than 9th grade,sensitivity,0.15151515151515152,0.032768817204301075,0.2631578947368421,
xgboost,education,Less than 9th grade,specificity,0.9024390243902439,0.8271604938271605,0.9615567976327469,
xgboost,education,Less than 9th grade,false_positive_rate,0.0975609756097561,0.038443202367253,0.1728395061728395,
xgboost,education,Less than 9th grade,false_negative_rate,0.8484848484848485,0.7368421052631579,0.967231182795699,
xgboost,education,Less than 9th grade,brier_score,,0.14043541237682344,0.2150677005557579,
xgboost,education,Some college/AA,auc,0.8280421087533156,0.7865594620367691,0.8707594654615681,
xgboost,education,Some college/AA,sensitivity,0.234375,0.13023584905660376,0.34515673981191225,
xgboost,education,Some college/AA,specificity,0.9681697612732095,0.9527493799944888,0.9818898863316866,
xgboost,education,Some college/AA,false_positive_rate,0.03183023872679045,0.01811011366831345,0.047250620005511154,
xgboost,education,Some college/AA,false_negative_rate,0.765625,0.6548432601880878,0.8697641509433962,
xgboost,education,Some college/AA,brier_score,,0.08401282303910625,0.12314389395315628,
xgboost,poverty_group,101-200% FPL,auc,0.8130150425114454,0.7623893642954314,0.8617567498031118,
xgboost,poverty_group,101-200% FPL,sensitivity,0.2727272727272727,0.16507575757575757,0.40611263736263725,
xgboost,poverty_group,101-200% FPL,specificity,0.9460431654676259,0.9212312030075187,0.9690875804641824,
xgboost,poverty_group,101-200% FPL,false_positive_rate,0.0539568345323741,0.030912419535817633,0.0787687969924812,
xgboost,poverty_group,101-200% FPL,false_negative_rate,0.7272727272727273,0.5938873626373626,0.8349242424242423,
xgboost,poverty_group,101-200% FPL,brier_score,,0.0947947463964838,0.13931773781841925,
xgboost,poverty_group,201-400% FPL,auc,0.8856194356420704,0.8407792397660819,0.9316410749657713,
xgboost,poverty_group,201-400% FPL,sensitivity,0.2127659574468085,0.11022727272727273,0.33028846153846136,
xgboost,poverty_group,201-400% FPL,specificity,0.9787234042553191,0.9612603062426384,0.9930081300813007,
xgboost,poverty_group,201-400% FPL,false_positive_rate,0.02127659574468085,0.006991869918699187,0.038739693757361596,
